abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
AK,2,02,Alaska,2024-03-23,10531,-41.2,10,1.37,0.7,-0.1,0.3,-0.7,2024-03-23,-43.2%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),0,22,3.6,2024-03-28,1575,236.6,2024-03-23,2024-03-23,Region 10,-1.4,4.4,5.9,6.9,6299,13736,30246,NA,NA,2024-04-01 14:07:00
AL,1,01,Alabama,2024-03-23,128231,-20.2,197,4.02,1.6,-0.4,2.1,-0.2,2024-03-23,-34.2%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,330,5.3,2024-03-28,23116,371.3,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,NA,NA,2024-04-01 14:07:00
AR,5,05,Arkansas,2024-03-23,72943,0.8,121,4.01,1.2,-0.2,1.5,-1.4,2024-03-23,-20.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,206,5.6,2024-03-28,13015,350.5,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,NA,NA,2024-04-01 14:07:00
AS,60,60,American Samoa,2024-03-23,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
AZ,4,04,Arizona,2024-03-23,164784,-15.9,153,2.1,0.8,-0.1,0.9,0,2024-03-23,-23.6%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,317,3.4,2024-03-28,30558,334,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,NA,NA,2024-04-01 14:07:00
CA,6,06,California,2024-03-23,671394,-8.9,957,2.42,1.2,-0.2,0.9,-0.1,2024-03-23,-14.3%,Moderate Decrease (-19.9% to -10.0%),0.4%,Minimal (< 1.5%),0.9,1432,3.3,2024-03-28,112687,254.4,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,-35.7,-0.5,2024-04-01 14:07:00
CO,8,08,Colorado,2024-03-23,106416,0,111,1.93,0.8,0.1,1.1,0.1,2024-03-23,-20.3%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,171,2.9,2024-03-28,15621,258.2,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
CT,9,09,Connecticut,2024-03-23,72243,-29.4,84,2.36,1,-0.5,1,-0.6,2024-03-23,-14.5%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),NA,225,4.7,2024-03-28,12845,263.3,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
DC,11,11,District of Columbia,2024-03-23,18023,-22.9,27,3.83,1.4,-0.4,1.1,-0.8,2024-03-23,-12.7%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),0,29,4.5,2024-03-28,1944,292.4,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
DE,10,10,Delaware,2024-03-23,21917,6.7,32,3.29,1.6,-0.3,1.1,-0.7,2024-03-23,-6.6%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,95,7.3,2024-03-28,3657,274.1,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
FL,12,12,Florida,2024-03-23,608505,-15.6,736,3.43,1.3,-0.2,1.6,-0.5,2024-03-23,-16.3%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),1.3,1276,3.8,2024-03-28,82913,257.7,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,-35,-0.7,2024-04-01 14:07:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
GA,13,13,Georgia,2024-03-23,255914,-14.9,354,3.33,1.9,-0.3,2.3,-0.6,2024-03-23,-29.9%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),2.7,566,5.2,2024-03-28,37386,327.7,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,0,0,2024-04-01 14:07:00
GU,66,66,Guam,2024-03-23,6268,-100,0,0,0.1,-0.3,0,0,2024-03-23,0.0%,Stable (-9.9% to 9.9%),0.0%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
HI,15,15,Hawaii,2024-03-23,22204,4.5,69,4.87,1.3,-0.1,0.9,0.8,2024-03-23,10.7%,Moderate Increase (10.0% to 19.9%),0.8%,Minimal (< 1.5%),0,41,1.8,2024-03-28,2085,103.9,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,NA,NA,2024-04-01 14:07:00
IA,19,19,Iowa,2024-03-23,59693,-27.9,44,1.39,0.5,-0.2,0.5,-0.2,2024-03-23,-3.9%,Stable (-9.9% to 9.9%),0.6%,Minimal (< 1.5%),NA,213,5.1,2024-03-28,11656,282.3,2024-03-23,2024-03-23,Region 7,-0.1,4.2,4.6,5.6,4463,17624,37955,NA,NA,2024-04-01 14:07:00
ID,16,16,Idaho,2024-03-23,30734,-7.4,50,2.8,1.1,-0.1,1,-0.5,2024-03-23,-14.9%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),NA,84,4.1,2024-03-28,5733,271.9,2024-03-23,2024-03-23,Region 10,-1.4,4.4,5.9,6.9,6299,13736,30246,NA,NA,2024-04-01 14:07:00
IL,17,17,Illinois,2024-03-23,253297,-19.7,346,2.73,1.1,-0.3,1.1,-0.2,2024-03-23,-31.4%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),1.2,608,4,2024-03-28,41930,272.9,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,-33.3,-0.6,2024-04-01 14:07:00
IN,18,18,Indiana,2024-03-23,151160,-14.9,165,2.45,0.9,-0.1,0.8,-0.1,2024-03-23,-23.4%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,421,5.4,2024-03-28,27108,341.6,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,NA,NA,2024-04-01 14:07:00
KS,20,20,Kansas,2024-03-23,61988,-39.3,54,1.85,0.7,-0.2,1,0.1,2024-03-23,-32.8%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,165,4.6,2024-03-28,11018,311.9,2024-03-23,2024-03-23,Region 7,-0.1,4.2,4.6,5.6,4463,17624,37955,NA,NA,2024-04-01 14:07:00
KY,21,21,Kentucky,2024-03-23,165170,-33.2,127,2.84,1.3,-0.2,1.6,0,2024-03-23,-14.8%,Moderate Decrease (-19.9% to -10.0%),0.9%,Minimal (< 1.5%),NA,443,8.3,2024-03-28,21133,393.7,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,NA,NA,2024-04-01 14:07:00
LA,22,22,Louisiana,2024-03-23,102801,-7.4,174,3.74,1.3,-0.2,0.9,0.1,2024-03-23,-28.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,233,4.5,2024-03-28,18211,340.7,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,NA,NA,2024-04-01 14:07:00
MA,25,25,Massachusetts,2024-03-23,118691,-23.8,154,2.23,1,-0.2,0.9,-0.5,2024-03-23,-19.0%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),1.7,394,4.5,2024-03-28,21998,247.3,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
MD,24,24,Maryland,2024-03-23,105175,-9.6,150,2.48,1.7,-0.4,1.7,0.1,2024-03-23,-14.7%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),2,429,6,2024-03-28,19107,261.8,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,5.3,0.1,2024-04-01 14:07:00
ME,23,23,Maine,2024-03-23,17045,15.6,37,2.75,1.7,0.1,1.3,-0.4,2024-03-23,-26.0%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,113,5.7,2024-03-28,3578,179,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
MI,26,26,Michigan,2024-03-23,211661,-18.5,312,3.12,1.5,-0.3,1.4,-0.5,2024-03-23,-19.9%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),1.3,657,5.2,2024-03-28,39341,309.3,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,-18.8,-0.3,2024-04-01 14:07:00
MN,27,27,Minnesota,2024-03-23,87582,-5.4,122,2.16,1.2,-0.2,1,0.1,NA,NA,NA,NA,NA,1.8,356,5.1,2024-03-28,16473,238.2,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,-5.3,-0.1,2024-04-01 14:07:00
MO,29,29,Missouri,2024-03-23,143775,-13.3,215,3.5,1.7,-0.3,1.6,-0.1,NA,NA,NA,NA,NA,NA,316,4.1,2024-03-28,23429,302.1,2024-03-23,2024-03-23,Region 7,-0.1,4.2,4.6,5.6,4463,17624,37955,NA,NA,2024-04-01 14:07:00
MP,69,69,Northern Mariana Islands,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
MS,28,28,Mississippi,2024-03-23,59298,-5.9,80,2.69,1.1,-0.2,0.7,-1.1,2024-03-23,-31.3%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,290,8.4,2024-03-28,15469,446.8,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,NA,NA,2024-04-01 14:07:00
MT,30,30,Montana,2024-03-23,32242,34.8,31,2.9,0.8,-0.1,0.5,-0.1,2024-03-23,-12.5%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),0,46,3.3,2024-03-28,4030,279.8,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
NC,37,37,North Carolina,2024-03-23,184242,-4.4,348,3.32,1.9,-0.4,2.2,-0.3,2024-03-23,-24.4%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),2.7,812,6.6,2024-03-28,35704,285.5,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,0,0,2024-04-01 14:07:00
ND,38,38,North Dakota,2024-03-23,16573,-23.3,23,3.02,1.1,-0.3,0.6,0.1,2024-03-23,-57.6%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),NA,33,3.5,2024-03-28,2734,293.2,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
NE,31,31,Nebraska,2024-03-23,35143,-42.5,50,2.58,1,-0.3,1.4,-0.4,2024-03-23,-28.4%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,119,5.1,2024-03-28,6052,260.1,2024-03-23,2024-03-23,Region 7,-0.1,4.2,4.6,5.6,4463,17624,37955,NA,NA,2024-04-01 14:07:00
NH,33,33,New Hampshire,2024-03-23,20451,-41.7,21,1.54,0.7,-0.5,0.7,-0.6,2024-03-23,-27.1%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),NA,94,5.1,2024-03-28,3507,190.8,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
NJ,34,34,New Jersey,2024-03-23,191457,-30.9,237,2.67,1.4,-0.4,1.3,-0.2,2024-03-23,-29.0%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),1.6,582,5,2024-03-28,36583,312.8,2024-03-23,2024-03-23,Region 2,0,3.4,4.1,5.1,592,10939,22548,0,0,2024-04-01 14:07:00
NM,35,35,New Mexico,2024-03-23,41193,17.4,54,2.58,1,-0.1,0.5,-0.8,2024-03-23,-10.7%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,102,3.9,2024-03-28,9679,374.1,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,NA,NA,2024-04-01 14:07:00
NV,32,32,Nevada,2024-03-23,68456,23.9,83,2.69,0.7,-0.2,1,-0.4,2024-03-23,-13.9%,Moderate Decrease (-19.9% to -10.0%),0.4%,Minimal (< 1.5%),NA,118,3.6,2024-03-28,12275,342.8,2024-03-23,2024-03-23,Region 9,-0.1,4,4.5,5.9,3196,9795,21305,NA,NA,2024-04-01 14:07:00
NY,36,36,New York,2024-03-23,419801,-8.6,552,2.84,1.4,-0.2,1.2,-0.3,2024-03-23,-11.7%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),1.4,1272,4.9,2024-03-28,84087,325.1,2024-03-23,2024-03-23,Region 2,0,3.4,4.1,5.1,592,10939,22548,-17.6,-0.3,2024-04-01 14:07:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,792,5.1,2024-03-28,43789,284,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.4,-0.5,2024-04-01 14:07:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,480,4.6,2024-03-28,40298,386.6,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0.2,2024-04-01 14:07:00
OH,39,39,Ohio,2024-03-23,283859,-22.8,291,2.49,0.8,-0.2,1,-0.1,2024-03-23,-16.2%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),2.2,744,5,2024-03-28,51726,347.6,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,4.8,0.1,2024-04-01 14:07:00
OK,40,40,Oklahoma,2024-03-23,116885,-20.8,133,3.36,1.7,-0.2,1.8,0,NA,NA,NA,NA,NA,NA,322,7,2024-03-28,20337,443.7,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,NA,NA,2024-04-01 14:07:00
OR,41,41,Oregon,2024-03-23,52148,-19.4,112,2.66,1.4,-0.3,1.3,-0.3,2024-03-23,-26.2%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,170,3.3,2024-03-28,9850,187.5,2024-03-23,2024-03-23,Region 10,-1.4,4.4,5.9,6.9,6299,13736,30246,NA,NA,2024-04-01 14:07:00
PA,42,42,Pennsylvania,2024-03-23,269036,-2.8,383,2.99,1.1,-0.3,1.1,-0.3,2024-03-23,-11.6%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),1.5,928,5.2,2024-03-28,55013,308.1,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,-6.3,-0.1,2024-04-01 14:07:00
PR,72,72,Puerto Rico,2024-03-23,31817,-45,44,1.38,0.5,-0.2,0.8,0,NA,NA,NA,NA,NA,NA,159,2.7,2024-03-28,6759,127.8,2024-03-23,2024-03-23,Region 2,0,3.4,4.1,5.1,592,10939,22548,NA,NA,2024-04-01 14:07:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
RI,44,44,Rhode Island,2024-03-23,14844,-5.6,17,1.6,0.7,0.1,0.5,0.1,2024-03-23,-19.0%,Moderate Decrease (-19.9% to -10.0%),0.3%,Minimal (< 1.5%),NA,66,4.5,2024-03-28,4128,278.9,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01 14:07:00
SC,45,45,South Carolina,2024-03-23,103960,-21.1,183,3.55,1.7,-0.4,1.5,-0.3,2024-03-23,-31.7%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),2.2,395,6.4,2024-03-28,22166,342.8,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,100,1.1,2024-04-01 14:07:00
SD,46,46,South Dakota,2024-03-23,21295,-13.6,19,2.15,0.6,-0.3,0.8,0.2,2024-03-23,-40.1%,Substantial Decrease (< -19.9%),0.3%,Minimal (< 1.5%),0,56,5.2,2024-03-28,3427,313.2,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
TN,47,47,Tennessee,2024-03-23,141352,-20.6,224,3.28,1.3,-0.3,1.1,-0.2,2024-03-23,-33.9%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),1.7,494,6.1,2024-03-28,29891,360.6,2024-03-23,2024-03-23,Region 4,-1.9,4,7.1,8.9,4282,12911,28204,-34.6,-0.9,2024-04-01 14:07:00
TX,48,48,Texas,2024-03-23,649280,-10.9,805,2.78,1.6,-0.3,1.9,-0.3,2024-03-23,-17.4%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),1,1113,4.2,2024-03-28,104910,365.3,2024-03-23,2024-03-23,Region 6,-0.1,4.7,5.3,6.6,11525,29523,62940,-33.3,-0.5,2024-04-01 14:07:00
USA,0,00,United States of America,2024-03-23,6901176,-13.9,9345,2.81,1.3,-0.2,1.3,-0.2,2024-03-23,-21.1%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),1.5,18452,4.7,2024-03-28,1186671,297.1,2024-03-23,2024-03-23,National,-0.6,4,5.1,6.2,65937,181172,391557,-16.7,-0.3,2024-04-01 14:07:00
UT,49,49,Utah,2024-03-23,51198,-14.7,64,2,0.8,-0.1,0.6,0,2024-03-23,9.2%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,71,2.6,2024-03-28,5742,205.6,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
VA,51,51,Virginia,2024-03-23,137199,-3.5,359,4.21,1.4,-0.2,1.6,0,2024-03-23,-27.1%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,577,5.9,2024-03-28,24903,248.3,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
VI,78,78,Virgin Islands,2024-03-23,628,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-23,2024-03-23,Region 2,0,3.4,4.1,5.1,592,10939,22548,NA,NA,2024-04-01 14:07:00
VT,50,50,Vermont,2024-03-23,7320,27.3,14,2.24,0.7,-0.2,0.4,-1.2,2024-03-23,-3.1%,Stable (-9.9% to 9.9%),0.4%,Minimal (< 1.5%),NA,55,6,2024-03-28,1158,132.5,2024-03-23,2024-03-23,Region 1,-0.4,3.4,4.2,5,4107,10091,21075,NA,NA,2024-04-01 14:07:00
WA,53,53,Washington,2024-03-23,85266,2.6,194,2.55,1.5,-0.1,1,0.1,2024-03-23,-25.7%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,329,4,2024-03-28,15924,183.8,2024-03-23,2024-03-23,Region 10,-1.4,4.4,5.9,6.9,6299,13736,30246,NA,NA,2024-04-01 14:07:00
WI,55,55,Wisconsin,2024-03-23,137450,-15.5,153,2.63,1.2,-0.3,1.1,0,2024-03-23,-17.5%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),NA,335,4.5,2024-03-28,17956,242.6,2024-03-23,2024-03-23,Region 5,-0.7,3.9,5,6.1,24992,61116,134194,NA,NA,2024-04-01 14:07:00
WV,54,54,West Virginia,2024-03-23,47495,-22.6,65,3.63,1.6,-0.1,2.4,0.2,2024-03-23,-7.7%,Stable (-9.9% to 9.9%),0.8%,Minimal (< 1.5%),NA,143,5.7,2024-03-28,9052,363.8,2024-03-23,2024-03-23,Region 3,-0.2,3.4,4.1,5.5,3548,8785,19086,NA,NA,2024-04-01 14:07:00
WY,56,56,Wyoming,2024-03-23,12171,-50,5,0.86,0.4,-0.1,0.7,-0.4,2024-03-23,21.7%,Substantial Increase (> 19.9%),0.8%,Minimal (< 1.5%),0,44,6.5,2024-03-28,2251,320.2,2024-03-23,2024-03-23,Region 8,-1.4,3.6,4.8,5.4,2933,6652,14004,NA,NA,2024-04-01 14:07:00
AK,2,02,Alaska,2024-03-16,10514,-63.3,11,1.5,0.7,-0.5,0.5,-0.9,2024-03-16,-50.9%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),0,20,3.4,2024-03-21,1573,236.4,2024-03-16,2024-03-16,Region 10,-0.3,5.7,6.7,7.6,5921,14926,31511,NA,NA,2024-03-25 14:06:00
AL,1,01,Alabama,2024-03-16,128027,-21.9,239,4.87,2,-0.3,2.2,-0.4,2024-03-16,-34.0%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,334,5.4,2024-03-21,23084,370.8,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,NA,NA,2024-03-25 14:06:00
AR,5,05,Arkansas,2024-03-16,72821,-33.5,119,3.94,1.4,-0.3,2.9,0.2,2024-03-16,-21.9%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,211,5.7,2024-03-21,13005,350.3,2024-03-16,2024-03-16,Region 6,-1.2,4.8,6.9,8.1,8369,20891,50962,NA,NA,2024-03-25 14:06:00
AS,60,60,American Samoa,2024-03-16,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
AZ,4,04,Arizona,2024-03-16,164630,-7.2,181,2.49,1,-0.2,0.9,-0.4,2024-03-16,-7.3%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,336,3.6,2024-03-21,30540,333.8,2024-03-16,2024-03-16,Region 9,-1.2,3.7,6.1,6.7,4246,10629,22816,NA,NA,2024-03-25 14:06:00
CA,6,06,California,2024-03-16,670382,-17.6,997,2.52,1.4,-0.2,1,0,2024-03-16,-10.8%,Moderate Decrease (-19.9% to -10.0%),0.5%,Minimal (< 1.5%),1.1,1531,3.5,2024-03-21,112594,254.2,2024-03-16,2024-03-16,Region 9,-1.2,3.7,6.1,6.7,4246,10629,22816,-26.7,-0.4,2024-03-25 14:06:00
CO,8,08,Colorado,2024-03-16,106304,-12.7,110,1.91,0.8,-0.1,1,-0.1,2024-03-16,-8.2%,Stable (-9.9% to 9.9%),0.6%,Minimal (< 1.5%),NA,181,3,2024-03-21,15606,257.9,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,NA,2024-03-25 14:06:00
CT,9,09,Connecticut,2024-03-16,72159,-26.5,119,3.34,1.6,-0.3,1.7,-0.2,2024-03-16,-27.0%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,241,5,2024-03-21,12836,263.1,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
DC,11,11,District of Columbia,2024-03-16,17996,-36.4,35,4.96,1.8,-0.2,1.9,-0.5,2024-03-16,-32.5%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),0,27,4.3,2024-03-21,1940,291.8,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,NA,NA,2024-03-25 14:06:00
DE,10,10,Delaware,2024-03-16,21885,-40,30,3.08,2,-1.1,1.8,-2,2024-03-16,-27.9%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,101,7.9,2024-03-21,3652,273.8,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,NA,NA,2024-03-25 14:06:00
FL,12,12,Florida,2024-03-16,607765,-24.6,869,4.05,1.4,-0.4,2,-0.5,2024-03-16,-25.3%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),2.6,1265,3.7,2024-03-21,82836,257.5,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,36.8,0.7,2024-03-25 14:06:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
GA,13,13,Georgia,2024-03-16,255560,-31,416,3.92,2.2,-0.6,2.9,-0.7,2024-03-16,-26.6%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,554,5.1,2024-03-21,37320,327.1,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,NA,NA,2024-03-25 14:06:00
GU,66,66,Guam,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,0.0%,Stable (-9.9% to 9.9%),0.0%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
HI,15,15,Hawaii,2024-03-16,22135,-14.3,66,4.66,1.4,-0.4,0.2,-0.2,2024-03-16,-41.1%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),0,38,1.7,2024-03-21,2081,103.7,2024-03-16,2024-03-16,Region 9,-1.2,3.7,6.1,6.7,4246,10629,22816,NA,0,2024-03-25 14:06:00
